gene_name,ENSG_ID,n_hit_transcripts,n_hit_cell_types,max_abs_delta_usage,min_permutation_pval,best_proxy_type,ad_prior_category,ad_ot_score,ad_ot_label,has_structural_feat,domain_names,any_junior_pass
PSKH1,ENSG00000159792,2,1,0.762061403508772,0.0476190476190476,C,none,0.3696,supported,True,Protein kinase,True
ANKRD44,ENSG00000065413,2,1,0.7572156196943974,0.0,D,none,0.0052,novel,False,,True
ANXA11,ENSG00000122359,2,1,0.7559465623981754,0.0357142857142857,D,none,0.0759,emerging,False,,True
CHD1L,ENSG00000131778,3,2,0.7550802139037434,0.0272727272727272,C,none,0.0126,novel,True,"Helicase ATP-binding, Helicase C-terminal, Macro",True
ECHDC1,ENSG00000093144,1,1,0.7545454545454546,0.0428571428571428,D,none,0.0065,novel,False,,True
ZNF334,ENSG00000198185,2,1,0.7531076687703193,0.0043290043290043,C,none,0.0,novel,True,KRAB,True
ICE2,ENSG00000128915,2,2,0.7518796992481203,0.0178571428571428,D,none,0.0015,novel,False,,True
TM9SF2,ENSG00000125304,2,1,0.7500000000000001,0.0238095238095238,D,none,0.0048,novel,False,,True
FCHSD2,ENSG00000137478,2,2,0.7453773113443279,0.0027,C,none,0.0087,novel,True,"F-BAR, SH3 1, SH3 2",True
DDX54,ENSG00000123064,2,1,0.7451298701298702,0.0238095238095238,C,none,0.0,novel,True,"Helicase ATP-binding, Helicase C-terminal",True
ACACA,ENSG00000278540,1,1,0.7424242424242424,0.0202020202020202,C,none,0.464,supported,True,"Biotin carboxylation, ATP-grasp, Biotinyl-binding",True
ZSWIM8,ENSG00000214655,1,1,0.737880737880738,0.0277777777777777,D,none,0.0347,novel,False,,True
ZNF160,ENSG00000170949,2,2,0.7364413850646643,0.0037962037962037,C,none,0.0234,novel,True,KRAB,True
BPTF,ENSG00000171634,1,1,0.7337526205450734,0.0033300033300033,C,none,0.022,novel,True,"DDT, Bromo",True
DDX19A,ENSG00000168872,2,2,0.7320450885668278,0.0015,C,none,0.2404,supported,True,"Helicase ATP-binding, Helicase C-terminal",True
AP2A2,ENSG00000183020,1,1,0.7212773342589378,0.0334110334110334,D,none,0.064,emerging,False,,True
ZNF268,ENSG00000090612,2,1,0.7205882352941178,0.0476190476190476,C,none,0.0015,novel,True,KRAB,True
PXK,ENSG00000168297,2,1,0.7190369818813602,0.0029970029970029,C,none,0.4626,supported,True,"PX, Protein kinase, WH2",True
SCAF4,ENSG00000156304,3,3,0.7179245283018868,0.0003996003996003,C,none,0.0097,novel,True,"CID, RRM",True
PTP4A2,ENSG00000184007,2,1,0.7106242248863167,0.0194805194805194,C,none,0.0045,novel,True,Tyrosine-protein phosphatase,True
ZSCAN32,ENSG00000140987,2,1,0.7099811676082863,0.0142857142857142,C,none,0.0,novel,True,"SCAN box, KRAB",True
SPG7,ENSG00000197912,3,1,0.7084358974358975,0.0111888111888111,D,none,0.0642,emerging,False,,True
AARS1,ENSG00000090861,2,2,0.7072261072261072,0.0075924075924075,D,none,0.0686,emerging,False,,True
ZNF7,ENSG00000147789,3,2,0.7051282051282052,0.0,C,none,0.0,novel,True,KRAB,True
RUSC2,ENSG00000198853,1,1,0.6986301369863013,0.0363636363636363,C,none,0.0,novel,True,"RUN, SH3",True
FAM120B,ENSG00000112584,1,1,0.6969476744186046,0.0158730158730158,D,none,0.0404,novel,False,,True
TNKS1BP1,ENSG00000149115,2,1,0.692857142857143,0.0357142857142857,D,none,0.2827,supported,False,,True
CHD1,ENSG00000153922,3,3,0.6911764705882353,0.0,C,none,0.2511,supported,True,"Chromo 1, Chromo 2, Helicase ATP-binding",True
LAMTOR3,ENSG00000109270,1,1,0.6907001044932082,0.0396825396825396,D,none,0.4529,supported,False,,True
ITCH,ENSG00000078747,3,2,0.6905437352245862,0.0079365079365079,C,none,0.028,novel,True,"C2, WW 1, WW 2",True
FASTKD5,ENSG00000215251,2,2,0.6888888888888889,0.0222222222222222,C,none,0.0,novel,True,RAP,True
PRKG2,ENSG00000138669,1,1,0.6868148148148149,0.019047619047619,C,none,0.0029,novel,True,"Protein kinase, AGC-kinase C-terminal",True
MIGA2,ENSG00000148343,2,2,0.6842502696871628,0.0158730158730158,D,none,0.0,novel,False,,True
CTNNB1,ENSG00000168036,1,1,0.6837863398988447,0.0095238095238095,D,none,0.2636,supported,False,,True
PPM1L,ENSG00000163590,2,1,0.68162639048715,0.0315656565656565,C,none,0.0668,emerging,True,PPM-type phosphatase,True
THRB,ENSG00000151090,2,2,0.6735559088500266,0.0181818181818181,C,none,0.0103,novel,True,NR LBD,True
MLIP,ENSG00000146147,1,1,0.6722864926758005,0.0407,D,none,0.0308,novel,False,,True
SLC39A9,ENSG00000029364,2,1,0.6666666666666667,0.0357142857142857,D,none,0.0066,novel,False,,True
DOCK11,ENSG00000147251,1,1,0.6656370656370657,0.005050505050505,C,none,0.0,novel,True,"PH, C2 DOCK-type, DOCKER",True
SEMA7A,ENSG00000138623,2,1,0.6642669007901668,0.0285714285714285,C,none,0.0081,novel,True,"Sema, Ig-like C2-type",True
DMXL2,ENSG00000104093,1,1,0.6610229694529957,0.0158730158730158,D,none,0.0187,novel,False,,True
HERPUD2,ENSG00000122557,1,1,0.655701754385965,0.0285714285714285,C,none,0.0063,novel,True,Ubiquitin-like,True
ZNF382,ENSG00000161298,2,1,0.6530193236714976,0.0106560106560106,C,none,0.0018,novel,True,KRAB,True
TIAM1,ENSG00000156299,1,1,0.6521630031115127,0.0403346653346653,C,none,0.0085,novel,True,"PH 1, RBD, PDZ",True
PRKD1,ENSG00000184304,2,1,0.65,0.0242424242424242,C,none,0.057,emerging,True,"PH, Protein kinase",True
RTRAF,ENSG00000087302,1,1,0.65,0.0182,D,none,0.0069,novel,False,,True
DENND4C,ENSG00000137145,1,1,0.6428571428571429,0.0476190476190476,C,none,0.0,novel,True,"MABP, uDENN, cDENN",True
MORC4,ENSG00000133131,2,1,0.6422522498606282,0.0178571428571428,D,none,0.0,novel,False,,True
KIAA1755,ENSG00000149633,1,1,0.6416396902330406,0.0429570429570429,D,none,0.0,novel,False,,True
PAN2,ENSG00000135473,1,1,0.6385281385281385,0.0357142857142857,C,none,0.0,novel,True,"USP, Exonuclease",True
ZNF549,ENSG00000121406,2,1,0.636986301369863,0.0428571428571428,C,none,0.0,novel,True,KRAB,True
BUB3,ENSG00000154473,2,1,0.6342475386779185,0.0475524475524475,D,none,0.0018,novel,False,,True
ARID4A,ENSG00000032219,2,2,0.6336538461538461,0.0202020202020202,C,none,0.0018,novel,True,"ARID, Tudor-knot",True
ZNHIT6,ENSG00000117174,2,1,0.6335616438356164,0.0075757575757575,D,none,0.0,novel,False,,True
MTO1,ENSG00000135297,2,1,0.6294937637564197,0.0037878787878787,D,none,0.0506,emerging,False,,True
ERBB4,ENSG00000178568,1,2,0.6288265306122449,0.0285714285714285,C,none,0.1013,emerging,True,Protein kinase,True
GAN,ENSG00000261609,2,1,0.6283783783783785,0.0003330003330003,C,none,0.0146,novel,True,"BTB, BACK",True
TUT7,ENSG00000083223,2,1,0.627906976744186,0.0126262626262626,C,none,0.0037,novel,True,"PAP-associated 1, PAP-associated 2",True
ZNF550,ENSG00000251369,2,2,0.626025872861316,0.0163170163170163,C,none,0.0,novel,True,KRAB,True
RBMXL1,ENSG00000213516,1,1,0.6247044251773449,0.006060606060606,N,none,0.0,novel,True,RRM,True
LRRC47,ENSG00000130764,2,1,0.6243589743589744,0.0119047619047619,D,none,0.0,novel,False,,True
ZNF224,ENSG00000267680,1,1,0.624,0.0315656565656565,N,none,0.0772,emerging,True,KRAB,True
UVSSA,ENSG00000163945,1,1,0.6217097600745399,0.0334110334110334,D,none,0.0,novel,False,,True
NUP62,ENSG00000213024,2,2,0.6168487255875538,0.0222222222222222,N,none,0.004,novel,False,,True
STRC,ENSG00000242866,1,1,0.615909090909091,0.0285714285714285,D,none,0.0052,novel,False,,True
ABCD4,ENSG00000119688,2,1,0.615888615888616,0.0,C,none,0.0081,novel,True,"ABC transmembrane type-1, ABC transporter",True
UBE2W,ENSG00000104343,1,1,0.6138763197586727,0.0357142857142857,C,none,0.0095,novel,True,UBC core,True
ADGRA3,ENSG00000152990,2,1,0.6136628023586989,0.0309690309690309,C,none,0.3123,supported,True,"LRRCT, Ig-like, GAIN-B",True
TLK2,ENSG00000146872,2,1,0.6130467012601928,0.0296,C,none,0.0065,novel,True,Protein kinase,True
ACSF3,ENSG00000176715,2,1,0.6129032258064515,0.0357142857142857,D,none,0.0,novel,False,,True
RGS3,ENSG00000138835,1,1,0.6117779444861215,0.0,C,none,0.0,novel,True,"C2, PDZ, RGS",True
PAQR8,ENSG00000170915,1,1,0.6110471806674338,0.0389610389610389,D,none,0.0093,novel,False,,True
ATP7A,ENSG00000165240,1,1,0.6078431372549019,0.0333333333333333,N,none,0.0822,emerging,True,"HMA 1, HMA 2, HMA 3",True
PRUNE2,ENSG00000106772,2,1,0.607597668897043,0.0324675324675324,C,none,0.0221,novel,True,CRAL-TRIO,True
HPS5,ENSG00000110756,2,1,0.606060606060606,0.0,D,none,0.0435,novel,False,,True
ERMP1,ENSG00000099219,1,1,0.6,0.019047619047619,D,none,0.0126,novel,False,,True
NDRG1,ENSG00000104419,2,1,0.5997442455242966,0.0156954156954156,D,none,0.0785,emerging,False,,True
GORASP1,ENSG00000114745,2,2,0.5970026350461133,0.0,C,none,0.0093,novel,True,"PDZ GRASP-type 1, PDZ GRASP-type 2",True
ALDH3A2,ENSG00000072210,2,1,0.5944805194805194,0.0178571428571428,D,none,0.0347,novel,False,,True
KRBA2,ENSG00000184619,2,1,0.5898165717900063,0.0489510489510489,C,none,0.0,novel,True,"KRAB, Integrase catalytic",True
KIF2A,ENSG00000068796,1,1,0.5885044431839668,0.0349650349650349,C,none,0.2162,supported,True,Kinesin motor,True
ARSG,ENSG00000141337,2,1,0.5858585858585859,0.0285714285714285,D,none,0.0,novel,False,,True
MSH6,ENSG00000116062,1,1,0.5842811656819622,0.031,C,none,0.0207,novel,True,PWWP,True
TGM2,ENSG00000198959,1,1,0.5839311334289814,0.0391608391608391,D,none,0.2303,supported,False,,True
NAXD,ENSG00000213995,1,1,0.582578634725874,0.0202020202020202,C,none,0.0037,novel,True,YjeF C-terminal,True
NETO1,ENSG00000166342,2,1,0.5813492063492064,0.0019980019980019,C,none,0.009,novel,True,"CUB 1, CUB 2, LDL-receptor class A",True
PPP2R5C,ENSG00000078304,1,1,0.5813397129186604,0.0277777777777777,D,none,0.241,supported,False,,True
MAP3K1,ENSG00000095015,1,1,0.577815506508206,0.05,C,none,0.0103,novel,True,Protein kinase,True
FOXO3,ENSG00000118689,1,2,0.5772357723577236,0.0064935064935064,N,none,0.5746,supported,False,,True
ACOT8,ENSG00000101473,1,1,0.5762242669993762,0.0236430236430236,D,none,0.0075,novel,False,,True
MOB3C,ENSG00000142961,1,1,0.5757575757575758,0.0,D,none,0.003,novel,False,,True
TPCN2,ENSG00000162341,2,1,0.5724784250269688,0.0345,D,none,0.0049,novel,False,,True
SERBP1,ENSG00000142864,1,1,0.5717948717948719,0.0206043956043956,D,none,0.0758,emerging,False,,True
RNF144A,ENSG00000151692,2,1,0.5666666666666667,0.0189393939393939,D,none,0.0219,novel,False,,True
CGGBP1,ENSG00000163320,1,1,0.5658207771609833,0.0091908091908091,N,none,0.0,novel,False,,True
GPBP1L1,ENSG00000159592,1,1,0.5625,0.0476190476190476,D,none,0.0,novel,False,,True
FHIP2B,ENSG00000158863,2,1,0.5622655663915979,0.0064102564102564,D,none,0.0,novel,False,,True
RFX4,ENSG00000111783,1,1,0.5614272198945804,0.03,D,none,0.014,novel,False,,True
MROH1,ENSG00000179832,2,2,0.5611799816345271,0.0282,N,none,0.0244,novel,False,,True
ZNF512,ENSG00000243943,1,1,0.5607287449392713,0.0303030303030303,D,none,0.0043,novel,False,,True
CCDC127,ENSG00000164366,1,1,0.5593629343629345,0.0181818181818181,D,none,0.0,novel,False,,True
FYN,ENSG00000010810,1,1,0.558494623655914,0.0378787878787878,C,none,0.1259,emerging,True,"SH3, SH2, Protein kinase",True
CNTROB,ENSG00000170037,1,1,0.5582655826558266,0.0416666666666666,D,none,0.0,novel,False,,True
EML4,ENSG00000143924,1,1,0.5581395348837209,0.0444444444444444,D,none,0.0098,novel,False,,True
IFNAR2,ENSG00000159110,1,1,0.5576923076923077,0.0317460317460317,D,none,0.0817,emerging,False,,True
CAV1,ENSG00000105974,1,1,0.5566433566433567,0.0285714285714285,D,none,0.3335,supported,False,,True
SOD2,ENSG00000291237,2,2,0.5563035495716036,0.0436507936507936,D,none,0.1232,emerging,False,,True
FXR1,ENSG00000114416,1,1,0.5561664094650206,0.0093,C,none,0.0149,novel,True,"Agenet-like 1, Agenet-like 2, KH 1",True
TBCK,ENSG00000145348,2,1,0.5545778336476012,0.0257242757242757,C,none,0.0046,novel,True,"Protein kinase, Rab-GAP TBC, Rhodanese",True
ZEB1,ENSG00000148516,1,1,0.5538250114521301,0.019047619047619,D,none,0.083,emerging,False,,True
TANGO2,ENSG00000183597,1,1,0.5530303030303031,0.0476190476190476,D,none,0.0,novel,False,,True
GLYR1,ENSG00000140632,1,1,0.5512605042016807,0.0117,C,none,0.0,novel,True,PWWP,True
DICER1,ENSG00000100697,2,2,0.5511982570806101,0.0037878787878787,C,none,0.0678,emerging,True,"Helicase ATP-binding, Helicase C-terminal, Dicer dsRNA-binding fold",True
PADI2,ENSG00000117115,1,1,0.5502846299810246,0.0317460317460317,D,none,0.0421,novel,False,,True
CAPN10,ENSG00000142330,1,1,0.5496323529411765,0.0046620046620046,C,none,0.0109,novel,True,Calpain catalytic,True
POR,ENSG00000127948,2,1,0.5494382986021782,0.0457,C,none,0.032,novel,True,"Flavodoxin-like, FAD-binding FR-type",True
POMT2,ENSG00000009830,2,2,0.5492010092514719,0.0141,C,none,0.0018,novel,True,"MIR 1, MIR 2, MIR 3",True
LRRN2,ENSG00000170382,2,1,0.5481953290870489,0.0484848484848484,C,none,0.2333,supported,True,"LRRNT, LRRCT",True
AMIGO1,ENSG00000181754,2,1,0.5476190476190477,0.0142857142857142,C,none,0.0052,novel,True,"LRRNT, LRRCT, Ig-like C2-type",True
LRSAM1,ENSG00000148356,1,1,0.5476190476190477,0.0363636363636363,N,none,0.0046,novel,True,SAM,True
ATP6V1G2,ENSG00000213760,2,1,0.5451805716007837,0.0476190476190476,D,none,0.0265,novel,False,,True
PAG1,ENSG00000076641,2,1,0.5446428571428572,0.0411255411255411,D,none,0.0048,novel,False,,True
FAM234A,ENSG00000167930,1,2,0.5444862155388472,0.0459540459540459,D,none,0.0,novel,False,,True
ZNF738,ENSG00000172687,2,1,0.5421487603305786,0.0158730158730158,C,none,0.0,novel,True,KRAB,True
SAMHD1,ENSG00000101347,2,2,0.5414479595214452,0.0004995004995004,C,none,0.2517,supported,True,"SAM, HD",True
CASC3,ENSG00000108349,2,1,0.5404388714733542,0.0116133866133866,D,none,0.0028,novel,False,,True
CCDC186,ENSG00000165813,2,1,0.5400465270854105,0.0272727272727272,D,none,0.0,novel,False,,True
PPARGC1A,ENSG00000109819,2,1,0.5398467079139349,0.0023976023976023,C,none,0.1274,emerging,True,RRM,True
DNPEP,ENSG00000123992,1,1,0.5374149659863947,0.0378787878787878,D,none,0.3602,supported,False,,True
TTC21B,ENSG00000123607,1,1,0.5371900826446281,0.0484848484848484,D,none,0.0,novel,False,,True
TRAK1,ENSG00000182606,1,1,0.5362318840579711,0.0475,C,none,0.0755,emerging,True,HAP1 N-terminal,True
BICD2,ENSG00000185963,2,1,0.535074670118429,0.0184815184815184,D,none,0.0779,emerging,False,,True
UXS1,ENSG00000115652,2,1,0.5348940914158307,0.0129870129870129,D,none,0.0042,novel,False,,True
MED23,ENSG00000112282,2,2,0.5338753387533876,0.0212121212121212,D,none,0.062,emerging,False,,True
EPHA5,ENSG00000145242,1,1,0.5332533653205385,0.0497835497835497,C,none,0.0256,novel,True,"Eph LBD, Fibronectin type-III 1, Fibronectin type-III 2",True
NISCH,ENSG00000010322,1,1,0.5325464531962136,0.004,C,none,0.4271,supported,True,PX,True
KLHL42,ENSG00000087448,2,1,0.5324675324675325,0.0272727272727272,C,none,0.239,supported,True,BTB,True
GDAP1,ENSG00000104381,3,2,0.5323834196891192,0.0107892107892107,C,none,0.0566,emerging,True,"GST N-terminal, GST C-terminal",True
TMUB2,ENSG00000168591,1,1,0.5317460317460319,0.0317460317460317,C,none,0.0,novel,True,Ubiquitin-like,True
LIG1,ENSG00000105486,1,2,0.5306834030683403,0.0069930069930069,D,none,0.0159,novel,False,,True
LRRC4C,ENSG00000148948,1,1,0.5300531171372659,0.0043290043290043,N,none,0.2209,supported,True,"LRRNT, LRRCT, Ig-like C2-type",True
ATF6,ENSG00000118217,2,1,0.5288012454592632,0.002020202020202,C,none,0.0407,novel,True,bZIP,True
MED16,ENSG00000175221,2,1,0.5283245715363398,0.0359640359640359,D,none,0.0136,novel,False,,True
SPATC1L,ENSG00000160284,1,1,0.5257334019557386,0.0439560439560439,D,none,0.0046,novel,False,,True
AP2M1,ENSG00000161203,1,1,0.5249122807017544,0.0472027972027972,C,none,0.4686,supported,True,MHD,True
DECR1,ENSG00000104325,1,1,0.5240372189196174,0.0481740481740481,D,none,0.0321,novel,False,,True
ZDHHC6,ENSG00000023041,2,1,0.5239383731846043,0.0023310023310023,C,none,0.0046,novel,True,"DHHC, SH3",True
TUT4,ENSG00000134744,1,1,0.521072796934866,0.0151515151515151,C,none,0.0037,novel,True,"PAP-associated 1, PAP-associated 2",True
CLOCK,ENSG00000134852,1,1,0.5208924302788844,0.0481740481740481,C,none,0.1099,emerging,True,"bHLH, PAS 1, PAS 2",True
TGFBRAP1,ENSG00000135966,2,1,0.5184453227931489,0.0285714285714285,C,none,0.0074,novel,True,CNH,True
CNKSR2,ENSG00000149970,2,2,0.5173506840173507,0.0088383838383838,C,none,0.0049,novel,True,"SAM, CRIC, PDZ",True
EXOC4,ENSG00000131558,2,2,0.5172694394213382,0.0197,D,none,0.2156,supported,False,,True
ZDHHC3,ENSG00000163812,2,1,0.5142857142857142,0.0333333333333333,C,none,0.0,novel,True,DHHC,True
DPY19L3,ENSG00000178904,2,2,0.5136363636363637,0.0075757575757575,D,none,0.0047,novel,False,,True
DCLK1,ENSG00000133083,2,1,0.5135135135135135,0.0104895104895104,C,none,0.1513,emerging,True,"Doublecortin 1, Doublecortin 2, Protein kinase",True
INTU,ENSG00000164066,1,2,0.5124692658939234,0.0109890109890109,C,none,0.0016,novel,True,PDZ,True
RASSF5,ENSG00000266094,1,1,0.512351469668543,0.0268842268842268,C,none,0.0049,novel,True,"Ras-associating, SARAH",True
CRB1,ENSG00000134376,1,1,0.5122549019607843,0.0454545454545454,C,none,0.0717,emerging,True,"EGF-like 1, EGF-like 2, EGF-like 3",True
SPP1,ENSG00000118785,1,1,0.5110501719997405,0.0433,D,none,0.119,emerging,False,,True
MIPOL1,ENSG00000151338,1,1,0.5104166666666667,0.0202,D,none,0.0,novel,False,,True
LYPD6,ENSG00000187123,1,1,0.5102438411261941,0.0173160173160173,N,none,0.0226,novel,True,UPAR/Ly6,True
HOOK2,ENSG00000095066,1,1,0.5098367777570907,0.0216450216450216,C,none,0.0102,novel,True,Calponin-homology (CH),True
SMAD2,ENSG00000175387,2,2,0.5088954781319496,0.0163170163170163,C,none,0.0275,novel,True,"MH1, MH2",True
TMEM181,ENSG00000146433,2,1,0.5080757726819543,0.0285714285714285,D,none,0.0029,novel,False,,True
DCAF11,ENSG00000100897,2,3,0.5066006600660067,0.0147630147630147,D,none,0.0144,novel,False,,True
ST3GAL5,ENSG00000115525,1,2,0.5060975609756098,0.0303030303030303,D,none,0.0038,novel,False,,True
RAB3GAP2,ENSG00000118873,1,1,0.5042848981146448,0.0178710178710178,D,none,0.0037,novel,False,,True
PMPCB,ENSG00000105819,1,1,0.5042253521126762,0.0346320346320346,D,none,0.0037,novel,False,,True
PDE1C,ENSG00000154678,1,1,0.5,0.0,C,none,0.0136,novel,True,PDEase,True
RNF128,ENSG00000133135,2,1,0.5,0.0238095238095238,C,none,0.0,novel,True,PA,True
KMT5B,ENSG00000110066,1,1,0.4999999999999999,0.05,C,none,0.2372,supported,True,SET,True
RIOK3,ENSG00000101782,2,2,0.4989735207584178,0.0013986013986013,C,none,0.0094,novel,True,Protein kinase,True
SORBS1,ENSG00000095637,1,1,0.4978163106460261,0.0491,C,none,0.0186,novel,True,"SoHo, SH3 1, SH3 2",True
DPF3,ENSG00000205683,1,1,0.496969696969697,0.0481740481740481,D,none,0.006,novel,False,,True
SLAIN2,ENSG00000109171,1,1,0.496969696969697,0.0476190476190476,D,none,0.0279,novel,False,,True
NCLN,ENSG00000125912,2,1,0.4967391304347825,0.0181818181818181,D,none,0.0028,novel,False,,True
ZNF706,ENSG00000120963,2,1,0.4960127591706539,0.0317460317460317,D,none,0.0,novel,False,,True
MTHFD1,ENSG00000100714,2,1,0.4957712924359737,0.0238095238095238,D,none,0.0404,novel,False,,True
FAM76B,ENSG00000077458,2,1,0.4940766550522648,0.0069930069930069,D,none,0.0663,emerging,False,,True
NDUFAF5,ENSG00000101247,2,1,0.4937611408199643,0.0021645021645021,D,none,0.0364,novel,False,,True
TGS1,ENSG00000137574,2,1,0.4933333333333333,0.0002913752913752,D,none,0.0,novel,False,,True
DNAJB6,ENSG00000105993,1,1,0.4925731432858215,0.0211,C,none,0.0633,emerging,True,J,True
SEPTIN8,ENSG00000164402,2,1,0.4911625591237242,0.0158,C,none,0.0106,novel,True,Septin-type G,True
DOCK10,ENSG00000135905,2,1,0.4908424908424908,0.002020202020202,C,none,0.0055,novel,True,"PH, C2 DOCK-type, DOCKER",True
EIF4E2,ENSG00000135930,1,1,0.4907407407407408,0.0119880119880119,N,none,0.0087,novel,False,,True
B4GALT4,ENSG00000121578,1,1,0.490566037735849,0.0202020202020202,D,none,0.0111,novel,False,,True
SORT1,ENSG00000134243,2,1,0.4898834632158433,0.0075757575757575,C,none,0.0739,emerging,True,Vps10p,True
PAFAH1B1,ENSG00000007168,1,1,0.4892411800486618,0.0223776223776223,C,none,0.0823,emerging,True,LisH,True
TBC1D4,ENSG00000136111,2,1,0.4889112903225806,0.0158730158730158,C,none,0.0091,novel,True,"PID 1, PID 2, Rab-GAP TBC",True
LRP8,ENSG00000157193,2,1,0.4887640449438203,0.0186480186480186,C,none,0.1131,emerging,True,"LDL-receptor class A 1, LDL-receptor class A 2, LDL-receptor class A 3",True
MAST4,ENSG00000069020,1,1,0.4880794701986755,0.016025641025641,C,none,0.022,novel,True,"Protein kinase, AGC-kinase C-terminal, PDZ",True
SRSF10,ENSG00000188529,1,1,0.487185104052574,0.031080031080031,C,none,0.0118,novel,True,RRM,True
PLEKHB2,ENSG00000115762,1,1,0.4848484848484848,0.0259740259740259,C,none,0.0039,novel,True,PH,True
PCCA,ENSG00000175198,1,1,0.4839537869062901,0.0428571428571428,C,none,0.0059,novel,True,"Biotin carboxylation, ATP-grasp, Biotinyl-binding",True
EHBP1,ENSG00000115504,1,1,0.4832785087719298,0.0279720279720279,C,none,0.0046,novel,True,"C2 NT-type, Calponin-homology (CH), bMERB",True
ENAH,ENSG00000154380,2,1,0.4823232323232323,0.0079365079365079,C,none,0.0419,novel,True,WH1,True
STAU1,ENSG00000124214,1,1,0.4812853107344633,0.0433566433566433,C,none,0.0131,novel,True,"DRBM 1, DRBM 2, DRBM 3",True
ANAPC5,ENSG00000089053,1,2,0.4807135969141755,0.0083,D,none,0.0044,novel,False,,True
CHORDC1,ENSG00000110172,1,1,0.4803130349718758,0.0076,C,none,0.0037,novel,True,"CHORD 1, CHORD 2, CS",True
DYNC1H1,ENSG00000197102,1,1,0.4802631578947368,0.0029,D,none,0.0757,emerging,False,,True
TADA2B,ENSG00000173011,2,1,0.4791114058355438,0.009,C,none,0.0,novel,True,SANT,True
